Date;Sayano-Shushenskoe;Mainskoe;Krasnoyarskoe;Bratstkoe;Ust-Ilimskoe;Boguchanskoe
14.10.2020;536,23;323,56;240,99;400,05;295,63;207,55
15.10.2020;536,18;323,57;241,03;400,07;295,65;207,53
16.10.2020;536,06;323,72;240,9;400,08;295,63;207,49
19.10.2020;535,72;323,7;241,03;400,08;295,7;207,41
20.10.2020;535,77;323,76;240,92;400,14;295,68;207,47
21.10.2020;535,68;323,73;240,91;400,14;295,66;207,5
22.10.2020;535,63;323,74;240,84;400,17;295,66;207,52
23.10.2020;535,47;323,63;240,8;400,16;295,66;207,48
26.10.2020;535,31;323,79;240,76;400,22;295,65;207,51
27.10.2020;535,29;323,77;240,66;400,24;295,63;207,52
28.10.2020;535,28;323,76;240,61;400,23;295,62;207,55
29.10.2020;535,18;323,79;240,61;400,2;295,62;207,52
30.10.2020;535,14;323,76;240,54;400,25;295,62;207,51
